auc,aud,dhbc,dhbd,tac,tad,rcc,rcd
500100,Awanui                            ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500202,Karikari Peninsula-Maungataniwha  ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500203,Taipa Bay-Mangonui                ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500204,Herekino                          ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500205,Ahipara                           ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500206,North Cape                        ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500207,Houhora                           ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500208,Motutangi-Kareponia               ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500301,Kaitaia West                      ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500302,Kaitaia East                      ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500401,Kaeo                              ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500402,Mangapa-Matauri Bay               ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500500,Kohukohu                          ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500600,Rawene                            ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500700,Omapere and Opononi               ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500801,Hokianga North                    ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500802,Hokianga South                    ,01,Northland                         ,001,Far North District                ,01,Northland Region        
500900,Kerikeri                          ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501000,Russell                           ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501100,Paihia                            ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501200,Haruru Falls                      ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501300,Opua East                         ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501400,Kawakawa                          ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501500,Moerewa                           ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501612,Opua West                         ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501613,Bay of Islands                    ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501614,Kapiro                            ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501615,Waitangi                          ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501620,Pokere-Waihaha                    ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501631,Okaihau                           ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501632,Ohaeawai                          ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501633,Waihou Valley-Hupara              ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501634,Ngapuhi-Kaikou                    ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501700,Kaikohe                           ,01,Northland                         ,001,Far North District                ,01,Northland Region        
501802,Opouteke-Tanekaha                 ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
501806,Marsden Point-Ruakaka             ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
501807,Ngunguru                          ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
501809,Wharekohe-Oakleigh                ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
501810,Maungatapere                      ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
501811,Waiotira-Springfield              ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
501814,Punaruku-Kiripaka                 ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
501815,Bream Bay                         ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
501816,Waipu                             ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
501817,Pataua-Whareora                   ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
501818,Parua Bay                         ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
501819,Bream Head                        ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502001,Springs Flat                      ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502002,Three Mile Bush                   ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502003,Te Hihi                           ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502004,Abbey Caves                       ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502005,Otaika-Portland                   ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502101,Kamo West                         ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502102,Kamo East                         ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502201,Tikipunga West                    ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502202,Tikipunga East                    ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502300,Whau Valley                       ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502400,Otangarei                         ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502500,Western Hills                     ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502600,Kensington                        ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502700,Mairtown                          ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502800,Regent                            ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
502900,Woodhill                          ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
503000,Vinetown                          ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
503100,Whangarei Central                 ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
503200,Riverside                         ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
503300,Horahora                          ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
503400,Maunu                             ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
503500,Raumanga East                     ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
503600,Morningside                       ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
503700,Parahaki                          ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
503800,Raumanga West                     ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
503900,Port-Limeburners                  ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
504000,Sherwood Rise                     ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
504100,Onerahi                           ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
504300,Hikurangi                         ,01,Northland                         ,002,Whangarei District                ,01,Northland Region        
504400,Te Kopuru                         ,01,Northland                         ,003,Kaipara District                  ,01,Northland Region        
504501,Kaipara Coastal                   ,01,Northland                         ,003,Kaipara District                  ,01,Northland Region        
504502,Maungaru                          ,01,Northland                         ,003,Kaipara District                  ,01,Northland Region        
504600,Dargaville                        ,01,Northland                         ,003,Kaipara District                  ,01,Northland Region        
504700,Maungaturoto                      ,01,Northland                         ,003,Kaipara District                  ,01,Northland Region        
504800,Ruawai                            ,01,Northland                         ,003,Kaipara District                  ,01,Northland Region        
504900,Kaiwaka                           ,01,Northland                         ,003,Kaipara District                  ,01,Northland Region        
505010,Rehia-Oneriri                     ,01,Northland                         ,003,Kaipara District                  ,01,Northland Region        
505021,Mangawhai                         ,01,Northland                         ,003,Kaipara District                  ,01,Northland Region        
505022,Mangawhai Heads                   ,01,Northland                         ,003,Kaipara District                  ,01,Northland Region        
505300,Wellsford                         ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505400,Leigh                             ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505500,Warkworth                         ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505601,Waimauku                          ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505602,Huapai                            ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505603,Riverhead Urban                   ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505604,Kumeu East                        ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505605,Kumeu West                        ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505700,Waipareira West                   ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505803,Waiwera                           ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505804,Hatfields Beach                   ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505805,Orewa                             ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505806,Silverdale Central                ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505807,Red Beach West                    ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505808,Red Beach East                    ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505902,Manly                             ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505904,Army Bay                          ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505906,Vipond                            ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505907,Stanmore Bay West                 ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505908,Stanmore Bay East                 ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505909,Wade Heads                        ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
505910,Gulf Harbour                      ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506001,Weiti River                       ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506002,Stillwater                        ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506003,Silverdale South                  ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506201,Silverdale North                  ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506202,Orewa West                        ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506300,Dairy Flat-Redvale                ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506400,Paremoremo West                   ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506613,Tauhoa-Puhoi                      ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506614,Tahekeroa                         ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506616,Matheson Bay                      ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506620,Kawau                             ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506631,Snells Beach                      ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506633,Algies Bay                        ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506634,Mahurangi                         ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506642,South Head                        ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506644,Parakai Rural                     ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506645,Parakai Urban                     ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506646,Kaukapakapa Rural                 ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506647,Kaukapakapa                       ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506648,Helensville South                 ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506652,Rewiti                            ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506653,Riverhead                         ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506654,Muriwai Beach                     ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506655,Muriwai Valley                    ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506656,Waitakere West                    ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506657,Point Wells                       ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506658,Omaha                             ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
506659,Matakana                          ,02,Waitemata                         ,076,Auckland                          ,02,Auckland Region         
