AU,worked_at_home,did_not_go_to_work_today,drove_private_car_truck_van,drove_company_car_truck_van,passenger_car_truck_van,bus,train,motorcycle_powercycle,bicycle,walked_jogged,other,total_stated,total_went_to_work,not_elsewhere_included,total
500100,9,12,60,12,15,..C,..C,..C,..C,9,..C,120,99,12,135
500202,366,189,717,174,57,..C,..C,24,..C,30,..C,1569,1014,159,1728
500203,84,78,270,63,15,..C,..C,..C,..C,39,..C,555,393,36,591
500204,129,72,414,99,30,..C,..C,12,9,27,..C,798,597,57,861
500205,39,54,228,42,18,..C,..C,..C,..C,15,..C,399,309,39,441
500206,24,21,57,24,12,..C,..C,9,..C,9,..C,159,111,21,177
500207,78,48,144,39,15,..C,..C,6,..C,18,6,354,225,21,375
500208,144,75,378,93,33,..C,..C,18,..C,18,6,768,546,48,813
500301,54,111,504,114,63,..C,..C,..C,12,99,..C,960,795,105,1065
500302,39,72,315,81,36,..C,..C,..C,9,54,..C,615,504,66,684
500401,15,21,78,9,6,..C,..C,..C,..C,15,..C,147,111,6,153
500402,228,126,429,90,45,..C,..C,21,..C,30,9,981,624,78,1059
500500,12,12,18,..C,..C,..C,..C,..C,..C,6,..C,57,36,..C,60
500600,18,21,54,18,..C,..C,..C,..C,..C,21,..C,138,102,12,153
500700,15,21,72,6,9,..C,..C,..C,..C,18,..C,144,108,24,168
500801,165,42,225,33,12,..C,..C,15,..C,27,6,531,321,87,621
500802,195,81,342,60,27,6,..C,12,..C,24,..C,750,474,93,843
500900,402,300,1224,333,114,..C,..C,6,18,183,18,2595,1896,123,2718
501000,72,42,120,30,9,..C,..C,..C,..C,54,12,348,234,39,387
501100,147,114,318,81,36,..C,..C,..C,..C,90,12,813,549,78,888
501200,33,51,186,45,24,..C,..C,..C,..C,12,..C,354,273,27,381
501300,30,12,72,24,6,..C,..C,..C,..C,18,..C,168,129,18,186
501400,18,36,246,45,39,..C,..C,..C,..C,51,..C,438,387,48,486
501500,24,39,222,42,33,..C,..C,..C,15,30,..C,414,348,69,483
501612,18,21,72,24,6,..C,..C,..C,..C,..C,..C,153,114,..C,156
501613,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6
501614,219,129,612,165,39,..C,..C,9,..C,15,..C,1197,846,45,1239
501615,90,48,156,51,15,..C,..C,..C,..C,12,..C,384,243,24,408
501620,273,96,408,87,42,..C,..C,24,..C,36,15,981,612,96,1077
501631,30,30,132,27,12,..C,..C,..C,..C,30,..C,261,204,21,282
501632,72,30,150,33,12,..C,..C,..C,..C,6,..C,306,207,30,336
501633,336,132,702,174,57,..C,..C,18,..C,33,12,1473,1002,114,1587
501634,147,84,336,63,45,..C,..C,15,..C,33,6,735,504,105,843
