AU,Male,Female,Total
500100,66,69,135
500202,903,822,1728
500203,309,279,591
500204,465,393,858
500205,222,216,438
500206,99,78,177
500207,189,189,375
500208,429,384,816
500301,552,513,1065
500302,366,315,684
500401,84,69,153
500402,561,498,1059
500500,30,30,60
500600,69,84,153
500700,72,96,171
500801,327,291,621
500802,444,399,843
500900,1416,1302,2721
501000,198,189,384
501100,456,432,888
501200,195,186,381
501300,105,81,186
501400,237,246,486
501500,249,234,483
501612,84,72,159
501613,3,3,6
501614,654,582,1239
501615,210,195,408
501620,576,504,1077
501631,144,135,282
501632,183,153,339
501633,840,747,1587
501634,450,393,843
501700,621,591,1209
501802,1245,1017,2262
501806,681,549,1230
501807,351,327,678
501809,945,801,1749
501810,342,288,630
501811,537,420,960
501813,..C,..C,..C
501814,996,819,1818
501815,258,180,438
501816,363,318,684
501817,267,231,501
501818,516,483,999
501819,339,315,654
502001,384,306,690
502002,171,144,312
502003,213,201,417
502004,180,147,330
502005,255,213,471
502101,720,669,1389
502102,717,624,1341
502201,594,522,1116
502202,675,618,1296
502300,531,516,1047
502400,270,252,522
502500,63,57,123
502600,303,297,600
502700,501,486,987
502800,375,351,729
502900,402,393,795
503000,324,318,642
503100,57,60,117
503200,219,201,420
503300,252,252,504
503400,312,306,618
503500,336,288,624
503600,510,441,951
503700,309,309,618
503800,591,519,1107
503900,12,6,21
504000,789,786,1578
504100,447,447,894
504300,297,246,543
504400,84,84,165
504501,798,648,1446
504502,495,429,921
504600,954,837,1794
504700,219,168,387
504800,99,78,177
504900,129,102,234
505010,1368,1080,2451
505021,219,168,390
505022,207,189,396
505300,411,318,729
505400,93,84,177
505500,786,672,1458
505601,243,213,459
505602,384,342,723
505603,342,279,624
505604,369,318,687
505605,495,435,933
505700,273,204,477
505803,54,45,99
505804,321,264,585
505805,1536,1371,2910
505806,165,135,303
505807,552,516,1065
505808,948,891,1842
505902,1521,1317,2841
505904,849,726,1575
505906,627,534,1164
505907,702,630,1335
505908,612,555,1167
505909,738,630,1365
505910,537,429,963
505911,6,3,6
506001,132,84,216
506002,237,207,444
506003,258,225,480
506201,237,198,435
506202,24,21,42
506300,660,555,1215
506400,204,162,366
506613,1179,921,2103
506614,1014,879,1893
506616,27,30,54
506620,24,18,42
506631,777,693,1467
506633,129,123,252
506634,72,72,144
506642,375,288,663
506644,141,135,276
506645,189,162,351
506646,621,510,1131
506647,126,99,222
506648,141,126,267
506652,546,489,1035
506653,861,729,1590
506654,312,270,582
506655,162,159,321
506656,168,147,312
506657,90,84,174
506658,111,102,210
506659,69,60,132
506660,765,624,1392
506661,726,618,1347
506800,606,549,1155
506901,1095,954,2049
506902,981,885,1866
506903,1347,1206,2553
507000,1221,1104,2325
507101,1092,966,2055
507102,1320,1185,2505
507200,1431,1287,2718
507300,1272,1170,2442
507400,1473,1347,2823
507500,675,567,1245
507710,840,729,1569
507720,900,885,1785
507800,1359,1206,2568
507900,1071,1020,2094
508010,771,723,1494
508020,1575,1452,3027
508110,894,849,1743
508120,672,597,1272
508210,1197,1077,2277
508220,1002,906,1908
508310,1269,1125,2400
508320,1158,1056,2214
508411,1536,1359,2895
508412,876,834,1710
508420,1920,1620,3540
508510,1386,1266,2655
508520,1800,1647,3444
508610,1353,1311,2667
508620,750,693,1443
508701,624,525,1146
508703,273,240,513
508704,744,702,1446
508803,1497,1398,2895
508804,645,543,1185
508805,372,363,735
508806,792,678,1467
508807,1077,924,2001
508900,228,183,408
509000,645,510,1152
509100,1833,1581,3414
509300,1044,930,1974
509400,1449,1341,2790
509500,726,546,1275
509701,1152,1065,2214
509702,882,834,1716
509800,1179,1113,2295
510010,1305,1218,2523
510020,1281,1164,2448
510210,711,672,1383
510220,1041,1008,2049
510401,1140,1071,2211
510402,1101,978,2079
510500,1197,1080,2277
510700,1194,1077,2271
510800,903,795,1701
511001,714,651,1368
511002,996,939,1935
511100,1659,1449,3105
511301,558,492,1050
