"AU","Male","Female"
"500100",63,66
"500202",845,854
"500203",288,301
"500204",450,379
"500205",176,224
"500206",85,57
"500207",189,171
"500208",402,335
"500301",432,429
"500302",232,248
"500401",71,65
"500402",520,448
"500500",19,34
"500600",68,80
"500700",58,67
"500801",279,264
"500802",424,387
"500900",1369,1329
"501000",174,182
"501100",367,398
"501200",189,189
"501300",69,69
"501400",188,204
"501500",171,193
"501612",56,61
"501613",1,1
"501614",670,626
"501615",195,185
"501620",483,466
"501631",124,134
"501632",163,149
"501633",864,808
"501634",411,399
"501700",484,515
"614502",0,0
"614601",0,0
"614700",3,2
"614800",1,0
"501802",1215,1075
"501806",802,638
"501807",342,368
"501809",975,885
"501810",348,311
"501811",548,439
"501813",0,0
"501814",953,867
"501815",240,188
"501816",382,357
"501817",288,268
"501818",479,503
"501819",333,300
"502001",354,351
"502002",259,237
"502003",301,270
"502004",179,156
"502005",268,253
"502101",696,729
"502102",680,655
"502201",485,490
"502202",550,533
"502300",462,464
"502400",174,199
"502500",58,58
"502600",255,250
"502700",428,451
"502800",312,323
"502900",362,359
"503000",265,281
"503100",43,43
"503200",174,179
"503300",236,248
"503400",273,275
"503500",246,219
"503600",404,419
"503700",301,286
"503800",478,432
"503900",13,5
"504000",748,737
"504100",401,432
"504300",244,220
"615101",11,4
"615102",3,1
"615301",0,0
"504400",66,65
"504501",776,622
"504502",463,416
"504600",811,763
"504700",166,135
"504800",75,58
"504900",148,109
"505010",1363,1082
"505021",282,276
"505022",239,208
"615302",0,0
"533000",1010,992
"533100",330,309
"533200",1068,935
"533300",716,726
"533400",257,238
"533501",456,481
"533502",895,857
"533602",161,130
"533603",839,720
"533604",178,174
"619301",1,2
"619302",1,0
"521136",197,159
"533800",276,257
"533901",707,597
"533902",364,293
"533903",98,72
"534200",830,734
"534300",697,648
"534400",793,785
"521114",57,56
"521115",65,50
"521117",250,224
"521131",492,456
"521135",463,354
"521153",665,546
"526106",77,57
"526200",945,826
"526400",0,0
"526500",593,591
"526601",1097,917
"526602",521,447
"526701",1065,879
"526702",279,218
"526900",322,280
"527004",577,576
"527111",607,478
"527112",88,75
"527122",284,246
"527123",790,701
"527125",638,546
"527131",1544,1373
"527210",649,404
"527221",297,225
"527222",65,44
"527401",382,369
"527402",828,723
"527912",438,368
"527913",727,629
"527916",204,172
"528200",921,903
"619000",0,0
"619101",0,0
"534500",777,637
"534602",77,57
"534603",763,580
"534604",1208,924
"534800",861,772
"534901",562,527
"534902",1092,996
"535000",81,75
"535220",590,519
"535231",259,191
"535242",307,253
"535501",662,625
"535502",956,853
"527005",593,507
"527006",941,936
"527007",1269,1146
"527008",806,785
"527009",2097,1966
"527124",68,54
"527810",125,127
"527820",212,204
"527917",43,27
"528310",1408,1301
"528320",647,621
"528402",519,480
"528403",50,41
"528405",42,40
"528406",45,54
"528501",1060,963
"528503",507,464
"528504",663,650
"528505",691,675
"528601",1075,1023
"528602",916,872
"528700",774,791
"528800",857,841
"528900",466,445
"529000",927,854
"529100",1036,997
"529200",1007,977
"529300",1269,1228
"529401",726,736
"529402",745,722
"529501",343,312
"529502",363,327
"529503",771,690
"529600",646,646
"529700",849,692
"529800",572,593
"529900",602,584
"530000",809,815
"530100",676,663
"530200",826,797
"530300",994,1121
"530400",823,850
"530500",1110,1062
"530600",532,533
"530700",806,803
"530800",633,650
"526603",382,327
"527133",483,474
"527134",400,363
"527501",753,759
"527502",663,640
"527503",181,172
"527504",849,821
"527505",967,910
"527600",123,114
"527700",417,394
"527914",642,541
"527915",335,289
"527921",143,108
"527922",369,343
"527923",174,116
"527924",172,151
"527925",90,79
"527931",134,111
"527932",299,268
"527934",572,491
"527935",300,228
"527936",211,203
"527937",64,55
"528000",239,185
"531001",315,270
"531002",720,715
"531003",648,631
"531004",624,599
"535241",818,696
"531100",60,61
"531200",588,502
"531301",533,422
"531303",122,99
"531304",1162,861
"618300",0,0
"619102",0,0
"535100",176,159
"535211",64,53
"535212",77,56
"535232",308,240
"535250",663,508
"535261",323,231
"535262",213,147
"535310",401,347
"535320",154,119
"535330",335,318
"535340",297,274
"535350",113,100
"535360",578,500
"535370",343,275
"535380",39,30
"535600",726,683
"531500",103,92
"531600",61,47
"531710",114,106
"531720",503,379
"531731",327,243
"531732",17,7
"531800",301,240
"532000",881,857
"619201",0,0
"532200",53,39
"532502",76,55
"540900",122,123
"541000",583,612
"541311",413,346
"541312",152,90
"541313",117,110
"541315",3,0
"541316",100,88
"541317",182,164
"541318",23,23
"541319",361,356
"541320",466,316
"541333",130,126
"541334",88,60
"541335",655,581
"541342",45,40
"541344",199,151
"541345",66,70
"541346",132,59
"541347",68,56
"541348",35,40
"541501",21,12
"541502",0,0
"541503",28,11
"541710",397,365
"541720",878,829
"541730",952,884
"541740",909,825
"541750",514,477
"541760",530,491
"620000",0,0
"534100",455,413
"535700",149,128
"535800",725,627
"535900",203,175
"536000",538,487
"536400",122,121
"536503",640,569
"536506",0,0
"536611",50,43
"536613",0,1
"536614",471,409
"536615",813,678
"536620",1238,1074
"536630",1503,1333
"536641",189,163
"536642",662,548
"536651",213,159
"536653",603,473
"536654",740,584
"538501",667,600
"538502",961,810
"536201",760,748
"536202",1034,883
"536203",542,487
"536505",139,145
"536508",3,1
"536509",0,0
"536510",0,0
"536512",92,85
"536513",819,812
"536514",887,778
"536515",666,636
"536516",803,732
"536517",811,761
"536810",1231,1133
"536821",1383,1288
"536822",25,16
"536831",1111,1014
"536832",910,880
"537000",1177,1130
"537100",839,825
"537201",853,840
"537202",841,838
"537301",1154,1136
"537302",389,383
"537400",512,523
"537500",606,584
"537601",770,781
"537602",1411,1308
"537700",420,375
"537800",157,150
"537900",1353,1284
"538000",646,621
"538101",365,328
"538102",900,946
"538201",511,483
"538202",6,5
"538301",364,315
"538302",787,742
"538303",880,750
"538601",648,641
"538602",255,261
"538721",64,65
"538722",106,83
"538731",152,137
"538732",895,853
"538741",671,673
"538742",454,444
"538811",727,678
"538812",0,0
"538820",633,549
"538831",66,48
"538832",409,380
"538841",424,285
"538842",120,90
"538850",510,420
"538861",49,36
"538863",206,180
"538864",147,127
"539000",192,198
"539100",602,585
"539200",392,390
"539310",355,360
"539320",617,632
"539400",488,453
"539500",443,444
"539600",207,216
"539700",280,279
"539800",376,416
"539900",312,337
"540000",1037,1036
"540100",424,421
"540200",315,335
"540300",44,52
"540410",261,210
"540420",395,332
"540510",489,482
"540520",375,412
"540600",293,290
"540700",47,46
"541900",711,718
"542000",117,125
"542100",94,116
"542200",359,309
"542300",70,71
"542410",631,599
"542421",249,245
"542422",582,614
"542430",508,583
"542440",840,874
"542511",87,110
"542513",0,0
"542514",27,26
"542520",133,127
"542530",1076,900
"542540",378,354
"542550",313,227
"542561",97,85
"542562",439,403
"542700",196,198
"542600",892,875
"542800",632,656
"542901",93,73
"542903",212,187
"542904",54,36
"542905",0,0
"542906",641,590
"543301",445,327
"543302",101,106
"543303",64,67
"543601",428,319
"543602",73,87
"543800",83,79
"543901",328,283
"543902",159,139
"543903",488,445
"544001",539,416
"544002",595,497
"544003",141,123
"544004",129,120
"544200",866,916
"544300",846,837
"544400",459,443
"544500",901,934
"544600",719,615
"544701",421,424
"544702",300,351
"544801",448,446
"544802",367,387
"544900",451,442
"545201",54,39
"545202",75,59
"545204",214,136
"545205",80,69
"545206",0,0
"545301",163,117
"545302",172,151
"545303",50,44
"545304",134,132
"545500",748,744
"545710",285,233
"545721",374,336
"545722",205,198
"545730",453,449
"545740",604,582
"545750",185,158
"545761",145,115
"545762",302,252
"545811",209,163
"545812",190,174
"545821",835,710
"545822",79,74
"545831",100,87
"545832",163,164
"545841",382,337
"545842",241,177
"545851",397,353
"545852",173,174
"545860",295,259
"545911",183,138
"545912",128,80
"545913",83,52
"547600",825,751
"547700",635,589
"547800",601,541
"547900",952,899
"548000",901,886
"548100",753,734
"548200",634,622
"548300",944,959
"548400",13,11
"548500",273,278
"548611",483,426
"548612",454,449
"548620",606,592
"548810",304,283
"548821",723,729
"548822",264,236
"548831",741,743
"548832",743,752
"548833",268,254
"545611",539,447
"545621",527,495
"545631",505,413
"545632",76,78
"546100",276,264
"546200",223,234
"546300",295,289
"546400",85,62
"546500",780,712
"546600",961,937
"546700",493,413
"546801",754,719
"546802",772,704
"546901",543,562
"546902",541,547
"547001",549,521
"547002",606,575
"547100",1465,1442
"547200",1227,1232
"547300",1196,1204
"547400",830,808
"549000",119,98
"549100",456,433
"549200",829,625
"549400",139,120
"549500",894,831
"549601",44,32
"549602",984,738
"550600",96,88
"550700",604,502
"550800",374,353
"550901",1313,1155
"550902",61,56
"551012",257,216
"551013",136,128
"551014",259,224
"551021",234,225
"551022",817,699
"551023",215,198
"551024",490,475
"551030",157,125
"551111",731,614
"551112",854,720
"551120",125,110
"551301",724,670
"551302",600,564
"551400",771,713
"551501",535,511
"551502",488,449
"551503",417,421
"551600",413,384
"551700",791,732
"551800",220,168
"551900",518,468
"552001",212,201
"552002",387,350
"552100",971,885
"552200",455,419
"552300",674,620
"552400",881,806
"552500",1195,1105
"552701",167,155
"552702",885,714
"552800",825,734
"552900",70,45
"553001",53,30
"553002",239,186
"553003",372,318
"553004",382,310
"553101",748,654
"553102",517,459
"553200",294,275
"553301",63,44
"553302",758,581
"553400",73,56
"553500",540,410
"553601",438,371
"553700",390,273
"553800",203,157
"553900",232,184
"554010",956,824
"554020",919,742
"554111",198,179
"554113",233,204
"554114",121,85
"554115",220,182
"554120",174,137
"554130",163,132
"554300",18,8
"554400",292,248
"554500",249,189
"554700",198,183
"554800",170,140
"532300",41,32
"532400",21,24
"532501",445,360
"532601",197,132
"532602",63,52
"532700",253,187
"532901",215,226
"532902",415,374
"532903",106,102
"532904",107,106
"554900",390,279
"555000",264,236
"555100",239,167
"558500",324,163
"555200",290,281
"555300",496,441
"555400",446,388
"555700",381,321
"555800",233,206
"555900",160,147
"556000",39,30
"556100",388,382
"556200",649,602
"556300",278,267
"556400",215,219
"556500",299,321
"556600",409,431
"556700",240,250
"556800",404,418
"556900",194,247
"557000",62,59
"557100",69,61
"557200",477,460
"557300",312,299
"557400",392,405
"557500",366,394
"557600",313,289
"557700",392,433
"557800",189,172
"557900",365,344
"558100",68,69
"558200",128,135
"558300",665,494
"558600",39,33
"558700",96,79
"558800",44,64
"558900",391,327
"559000",15,4
"559210",231,160
"559220",675,524
"559230",811,656
"559240",28,26
"559400",402,348
"559500",968,897
"559700",443,350
"560000",337,313
"560411",63,50
"560412",265,210
"560421",167,147
"560422",776,665
"560710",890,858
"560720",884,806
"560730",585,546
"560740",672,635
"560900",141,122
"561000",149,120
"561100",40,40
"561200",96,86
"561410",86,76
"561421",115,40
"561422",953,851
"561901",583,506
"560200",693,650
"560301",263,220
"560302",286,237
"561811",272,228
"561812",157,151
"561813",78,71
"561820",539,167
"561902",525,495
"562100",1330,1257
"562200",1808,1651
"562310",1216,1230
"562320",459,461
"562401",618,639
"562402",647,637
"562500",1172,1153
